"adult","also_known_as","biography","birthday","deathday","gender","homepage","id","imdb_id","known_for_department","name","place_of_birth","popularity","profile_path","success","status_code","status_message"
false,"[]","",,,2,,75749,"nm1071159","Acting","Martin Broome",,1.486,"/fQ96sbSYweeXdeysw867z8tPkm1.jpg",,,
false,"[""Holly Ann Brisley""]","Holly Brisley is an Australian actress and television presenter. She began her career at the age of 16 on Agro's Cartoon Connection and more recently portrayed Amanda Vale-Baker on Home and Away. Her most successful film roles include Garage Days and The Crop.

Brisley was born in Adelaide, South Australia, Australia. As Holly grew up, she excelled at speech and drama and joined the Paradise Performer's Dance Academy, where she participated in various Classes such as Jazz, Ballet and Tap Dancing.

Brisley's family moved from Adelaide to the Gold Coast while she was still very young.

Holly became engaged to marketing executive Paul Ford in Venice in 2005 and they married on 11 February 2006 in Manly, Sydney. They exchanged vows in the Cardinal Cerretti Memorial Chapel, in the grounds of St Patrick's Seminary overlooking the ocean.

Holly gave birth to their son, Levi Harper Ford, at the Royal North Shore Private Hospital on 16 July 2009. On 20 July 2012 Holly gave birth to the couples second child, a daughter Willow Jade Ford.

Holly has Coeliac Disease, and appeared on the cover of ""The Australian Coeliac"" September 2005 edition.

In July 2010, Holly climbed Mount Kilimanjaro in Africa for a charity trek, whereby she raised $50,000 for the Humpty Dumpty Foundation, a worthy cause that helps sick children. She had a near death experience having contracted pulmonary edema caused by the high altitude but is in good health now.","1978-01-11",,1,,228421,"nm0109863","Acting","Holly Brisley","Adelaide, South Australia, Australia",1.788,,,,
false,"[]","","1978-11-14",,1,"https://johnsonlaird.com/our-actors/Michala-Banas",187196,"nm0051558","Acting","Michala Banas","Wellington, New Zealand",8.081,"/7RLtXdQJ3fYs0KzIpycGlGlbNxp.jpg",,,
false,"[]","",,,0,,1120664,"nm1190169","Acting","Troy MacKinder",,1.249,"/m9hWUIPD6OLLWj36PeMHqYztE8G.jpg",,,
false,"[]","",,,0,,1262385,"nm0885190","Acting","David Vallon",,1.96,"/c2ZI1zJv0Mwl4TrpnZzN1PB2773.jpg",,,
false,"[]","","1973-02-03",,2,,2743351,,"Acting","Rio Nugara","Dehiwala, Sri Lanka",3.176,,,,
false,"[]","",,,2,,2213689,,"Acting","Chris Cruickshanks",,1.4,"/iMIMdazVFkyR27tbBG0UyZ6gtrO.jpg",,,
false,"[""Jean-Paul Manoux"",""JP Manoux""]","J.P. Manoux (born June 8, 1969) is an American actor.","1969-06-08",,2,,88702,"nm0002262","Acting","J.P. Manoux","Fresno, California, USA",16.857,"/lLEfizV970QfahQSBssUvj8Exs7.jpg",,,
false,"[]","Scott Innes (born October 1, 1966) is an American voice actor, author, songwriter and radio personality. He is best known for his voice over work in various Warner Bros. and Hanna-Barbera animated films, television shows, video games and commercials, most notably as Scooby-Doo, Shaggy Rogers, Scrappy-Doo, Popeye the Sailor, Fred Flintstone, Barney Rubble, Foghorn Leghorn, Muttley, Bugs Bunny, Yogi Bear and Captain Caveman. He has also provided the voice of Fred Jones, Boo-Boo Bear, Snagglepuss, Papa Smurf, Elroy Jetson, Astro, Quick Draw McGraw, Baba Looey, Elmer Fudd, Spike Bulldog and Ranger Smith in commercials.

Description above from the Wikipedia article Scott Innes, licensed under CC-BY-SA, full list of contributors on Wikipedia .","1966-10-30",,2,"http://www.scottinnes.com",58272,"nm0409186","Acting","Scott Innes","Poplar Bluff, Missouri, USA",5.661,"/yUI9kd9HKJWwHSxLDEcm4Tx9TNX.jpg",,,
false,"[]","","1958-12-25",,2,"http://www.sjmanagement.com.au/Actor/Showcast/Nicholas-Hope",81172,"nm0394034","Acting","Nicholas Hope","Manchester, England, UK",1.564,"/jwl6mahxUgnLvaCfmKiQLN9M2f6.jpg",,,
false,"[]","From Wikipedia, the free encyclopedia.

Kristian Schmid (born in Geelong, Australia on 28 November 1974) is an Australian actor who is best known for his role as Todd Landers on the Australian soap opera Neighbours. He now plays Leading Seaman Robert Dixon on the prime-time Nine Network drama, Sea Patrol.

He has starred in all four seasons of the show and will continue the role of RO for the fifth season which has been announced by Channel Nine.

After Neighbours, he starred as Adam Newman in the 1990s remake of The Tomorrow People. During the latter series, he filmed an interview in which he claimed to have jokingly asked Jean Marsh (guest starring in a villain role) to marry him. While on a four year work permit in the UK he made appearances on several UK television shows as well as the plays The Lion in Winter and Laura.

He has starred in two versions of the play Two Weeks with the Queen by Morris Gleitzman. The first time for the BBC in London and the second for the Windmill Theatre Company in 2006. He won rave reviews for his performance of Alistair, Colin's nerdy and neurotic cousin.

He has performed in three versions of Shakespeare's A Midsummer Night's Dream and numerous pantomimes in the UK with Richard Cheshire.

During 2002, Schmid played Brad in the film Scooby-Doo and Danny in the Australian film Blurred, about Schoolies week.

In 2003, he married actress, journalist and newsreader Deborah Clay. The couple have two sons, Leo and Oliver.

He played a newspaper journalist in the Foxtel comedy Stupid Stupid Man and has appeared on several Australian television dramas including Blue Heelers and All Saints.

Schmid appears on the Channel Nine Show 20 to 1, hosted by Bert Newton.

He also has a recurring role on Packed to the Rafters as Alex, who has cerebral palsy. He will be seen as Alex throughout the 2010 season of the show.

Description above from the Wikipedia article Kristian Schmid, licensed under CC-BY-SA, full list of contributors on Wikipedia.​","1974-11-28",,2,,186420,"nm0772703","Acting","Kristian Schmid","Geelong - Victoria - Australia",3.682,"/tfw03uQHdviBzNuY6kdSkifYCBf.jpg",,,
false,"[]","",,,0,,1325996,,"Acting","Charles Cousins",,0.6,,,,
false,"[]","",,,2,,2213682,,"Acting","Rodney Sheppard",,1.414,"/5IMO4jGmQz9EXgkHPv0GnRUwaD4.jpg",,,
false,"[""DJ Homicide""]","Craig Anthony Bullock, also known by his stage name DJ Homicide, is an American musician, DJ, rapper, singer, record producer and radio personality. He was the DJ of the rock band Sugar Ray. DJ Homicide hosts The Blast on SKEE 24/7 on Dash Radio.","1970-12-17",,2,,2213667,"nm0120138","Acting","Craig Bullock","Pasadena, California, USA",1.442,"/dI2XaMfnBEa3ub2BrqoSv0yim47.jpg",,,
false,"[]","","1967-05-03",,2,,2213669,,"Acting","Sam Greco","	Melbourne, Australia",1.132,,,,
false,"[]","",,,0,,2632078,,"Acting","Charles Stan Frazier",,0.6,,,,
false,"[""Steven Grieves"",""Stephen Grives"",""Steve Grives""]","","1951-03-16",,2,,53591,"nm0342708","Acting","Steven Grives","Lordsworth, Warwickshire, England, UK",2.079,,,,
false,"[]","",,,2,,2213677,,"Acting","Matthew Murphy Karges",,0.612,"/qObcl6oNKqb3ljuAyumaQZWXzSA.jpg",,,
false,"[""Miguel Nuñez"",""Miguel Núñez"",""Miguel Nuñez Jr."",""Miguel A. Nuñez Jr."",""Miquel Nunez"",""Miguel Nunez"",""Miguel Nunez Jr."",""Miguel A Nunez Jr."",""Miguel A. Nunez Jr."",""Miguel A. Nuncey Jr.""]","Miguel A. Núñez Jr. was born on August 11, 1964 in New York City, New York, USA. He is an actor and producer, known for The Return of the Living Dead (1985), Street Fighter (1994) and Scooby-Doo (2002). He has been married to Yulanda Simon since 1994. They have two children.","1964-08-11",,2,,74354,"nm0639200","Acting","Miguel A. Núñez, Jr.","New York City, New York, USA",7.596,"/96N3fiIDGfu4yDArkVGfT7rLRvH.jpg",,,
false,"[]","Mark Sayers McGrath (born March 15, 1968) is an American singer of the rock band Sugar Ray. McGrath is also known for his work as a co-host of Extra, and he was the host of Don't Forget the Lyrics! in 2010. Mark is currently the host of the TV show Killer Karaoke, taking the place of Jackass star Steve-O.","1968-03-15",,2,"http://www.markmcgrath.com/",35753,"nm0005209","Acting","Mark McGrath","Hartford, Connecticut, USA",5.711,"/ocHUamPOg30w0PSOMacrlbwlKlM.jpg",,,
false,"[]","Neil Fanning is an Australian actor and stuntman who is well-known for voicing Scooby-Doo.","1967-04-12",,2,,58271,"nm1035356","Acting","Neil Fanning","Brisbane, Queensland, Australia",1.432,"/bOeVV04QAKMNRQocVPNsyFesjth.jpg",,,
false,"[""Άιλα Λανγκ Φίσερ"",""아일라 피셔"",""Άιλα Φίσερ"",""Айла Фишер""]","Isla Lang Fisher (born 3 February 1976) is an Australian actress and author. Born to Scottish parents in Oman, she moved to Australia at age six and began appearing in television commercials. Fisher came to prominence for her portrayal of Shannon Reed on the Australian soap opera Home and Away from 1994 to 1997, for which she received two Logie Award nominations.

She made a successful transition to Hollywood in the live-action film adaptation of Scooby-Doo (2002), and has since appeared in Wedding Crashers (2005), Hot Rod (2007), Confessions of a Shopaholic (2009), The Great Gatsby (2013), and Now You See Me (2013). Her other notable film credits include I Heart Huckabees (2004), The Lookout (2007), Definitely, Maybe (2008), Burke & Hare (2010), Bachelorette (2012), Visions (2015), Grimsby, Nocturnal Animals, Keeping Up with the Joneses (all in 2016), and Tag (2018). She has also voiced characters in animated films such as Horton Hears a Who! (2008), Rango (2011), and Rise of the Guardians (2012). On television, she had a recurring role on the fourth and fifth seasons of Arrested Development (2013, 2018).

Fisher has authored two young adult novels and the Marge in Charge book series.

Description above from the Wikipedia article Isla Fisher, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1976-02-03",,1,,52848,"nm0279545","Acting","Isla Fisher","Muscat, Oman",23.459,"/zNKTzzuyMYaCGEZKhwhqV1K8ffo.jpg",,,
false,"[""Matthew Lyn Lillard"",""Matt Lillard""]","Matthew Lyn Lillard (born January 24, 1970) is an American actor, comedian, director, and producer. His early film work includes Chip Sutphin in Serial Mom (1994), Emmanuel ""Cereal Killer"" Goldstein in Hackers (1995), Stu Macher in Scream (1996), Stevo in SLC Punk! (1998), Brock Hudson in She's All That (1999), and Billy Brubaker in Summer Catch (2001). He played Shaggy Rogers in Scooby-Doo (2002) and its sequel Scooby-Doo 2: Monsters Unleashed (2004), and in animation, he has been the voice of Shaggy since Casey Kasem retired from the role in 2009.

Lillard's later film roles include Jerry Conlaine in Without a Paddle (2004), Dez Howard in The Groomsmen (2006), Joey in Home Run Showdown (2012), and Jack Rusoe in Return to Nim's Island (2013). While much of his work is comedic in nature, Lillard has also given dramatic performances in movies such as The Descendants (2011), Trouble with the Curve (2012), Match (2014), and Twin Peaks: The Return (2017). He made his directorial debut with the coming-of-age drama Fat Kid Rules the World (2012). From 2018 to 2021, Lillard also starred as Dean Boland in the television series Good Girls.

Description above from the Wikipedia article Matthew Lillard, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1970-01-24",,2,,26457,"nm0000498","Acting","Matthew Lillard","Lansing, Michigan, USA",29.605,"/gXOanRx8ebM5jL9ZN9clKfFlQL0.jpg",,,
false,"[""Sarah Michelle Prinze"",""Σάρα Μισέλ Πρινζ"",""Σάρα Μισέλ Γκέλαρ"",""Сара Мишель Геллар""]","Sarah Michelle Prinze (née Gellar; born April 14, 1977) is an American actress, producer, and entrepreneur. After being spotted at the age of four in New York City, she made her screen acting debut in the television film An Invasion of Privacy (1983). A leading role on the teen drama series Swans Crossing (1992) was soon followed by her breakthrough role as Kendall Hart on the ABC daytime soap opera All My Children (1993–1995), for which she received the Daytime Emmy Award for Outstanding Younger Actress in a Drama Series. Gellar received international recognition for her portrayal of Buffy Summers on the WB/UPN television series Buffy the Vampire Slayer (1997–2003), which earned her five Teen Choice Awards, a Saturn Award and a Golden Globe Award nomination.

In film, her most commercially successful performances include I Know What You Did Last Summer (1997), Scream 2 (1997), Cruel Intentions (1999), Scooby-Doo (2002) and Scooby-Doo 2: Monsters Unleashed (2004), The Grudge (2004) and TMNT (2007). She has also appeared in various independent films such as Southland Tales (2006), The Air I Breathe (2007), and Veronika Decides to Die (2009). Having significantly reduced her acting workload since becoming a mother, Gellar has occasionally ventured back into television, headlining the CW drama thriller series Ringer (2011–2012) and the CBS comedy The Crazy Ones (2013–2014), and providing her voice for the Netflix animated series Masters of the Universe: Revelation (since 2021).

In 2015, Gellar, along with Galit Laibow and Greg Fleishman, founded Foodstirs, an e-commerce startup selling baking kits, and in 2017, she released her own cookbook, Stirring Up Fun with Food.

Description above from the Wikipedia article Sarah Michelle Gellar, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1977-04-14",,1,,11863,"nm0001264","Acting","Sarah Michelle Gellar","New York City, New York, USA",25.934,"/sCpCv2ldnrAQN9NVQOE6PYxG8TN.jpg",,,
false,"[]","Frederick James Prinze Jr. (born March 8, 1976) is an American actor, writer, and producer. He has starred in films such as I Know What You Did Last Summer (1997) and its sequel I Still Know What You Did Last Summer (1998), She's All That (1999), Summer Catch (2001), Scooby-Doo (2002), and its sequel Scooby-Doo 2: Monsters Unleashed (2004). Prinze has also had recurring and starring roles in television shows, including Friends (2002), Boston Legal (2004), Freddie (2005–06) and 24 (2010), and voiced Kanan Jarrus in the Disney XD series Star Wars Rebels. He is the only child of comedian and actor Freddie Prinze.

Description above from the Wikipedia article Freddie Prinze Jr., licensed under CC-BY-SA, full list of contributors on Wikipedia.","1976-03-08",,2,,33260,"nm0005327","Acting","Freddie Prinze Jr.","Los Angeles, California, USA",22.789,"/8V9yNBjCNRBKROyjCLKLJGcCBdG.jpg",,,
false,"[]","",,,0,,1773169,,"Acting","Matthew Ezell",,0.6,,,,
false,"[]","",,,0,,1805556,,"Acting","Mark Axelowitz",,1.22,"/2PkwczFQCoybZyLBQTWvINtITy1.jpg",,,
false,"[]","",,,0,,2495903,,"Acting","Byron Wigfall",,1.78,"/uecgi328HuU1xTLcCUz5D4Xb0Hr.jpg",,,
false,"[]","",,,0,,1361117,"nm3745764","Acting","Shannon Mayers",,0.702,,,,
false,"[]","Rebecca Lee Robertson is a Actress, Storyteller, Filmmaker",,,1,"https://www.rebeccaleerobertson.com/",2102723,"nm5721318","Acting","Rebecca Lee Robertson",,6.86,"/1izlxUuODgQBtz1DbgMTcKYdggm.jpg",,,
false,"[]","",,,0,,2495896,,"Acting","Chris Kontopidis",,2.235,"/2rawqvyVal4I5rw0WocxNF66p5c.jpg",,,
false,"[]","",,,0,,2495894,,"Acting","Sarah Jorge León",,2.131,"/xcvHT0fAgF6Noq54DOQiss1Pp4O.jpg",,,
false,"[]","Jennifer Beals (born December 19, 1963, height 5' 8½"" (1,74 m)) is an American actress and a former teen model. She is known for her roles as Alexandra ""Alex"" Owens in the 1983 film Flashdance, and as Bette Porter on the Showtime drama series The L Word. She earned an NAACP Image Award and a Golden Globe Award nomination for the former. She has appeared in more than 50 films.

Beals was born on the South Side of Chicago, the daughter of Jeanne (née Anderson), an elementary school teacher, and Alfred Beals, who owned grocery stores. She is multiracial; her father was African American, and her mother is Irish American. She has two brothers, Bobby and Gregory.Her father died when Beals was nine years old, and her mother married Edward Cohen in 1981. Beals has said her biracial heritage had some effect on her, as she ""always lived sort of on the outside"", with an idea ""of being the other in society"". She got her first job at age 13 at an ice cream store, using her height at the time (she is now nearly 5 ft 9 in (1.75 m)), to convince her boss she was 16.

Beals was inspired to become an actress by two events: doing a high school production of Fiddler on the Roof and seeing Balm in Gilead with Joan Allen while volunteer-ushering at the Steppenwolf Theatre.

Beals graduated from the progressive Francis W. Parker School. She also was chosen to attend the elite Goodman Theatre Young People's Drama Workshop. Beals attended Yale University, receiving a B.A. in American literature in 1987; she deferred a term so she could film Flashdance. While at Yale, Beals was a resident of Morse College.

Description above from the Wikipedia article Jennifer Beals, licensed under CC-BY-SA, full list of contributors on Wikipedia. ​","1963-12-19",,1,"http://thejenniferbeals.com",3130,"nm0000884","Acting","Jennifer Beals","Chicago - Illinois - USA",24.52,"/gSgjPBfke1fz55WyO8AnFWtidOq.jpg",,,
false,"[""Peter Killian Gallagher"",""Peter Gallager""]","Peter Killian Gallagher (born August 19, 1955 height 5' 10"" (1,78 m)) is an American actor, musician and writer. Since 1980, Gallagher has played many roles in numerous Hollywood films. He starred as Sandy Cohen in the television drama series The O.C. from 2003 to 2007. He currently appears in a recurring role on the USA Network drama Covert Affairs as CIA Clandestine Services Director Arthur Campbell.","1955-08-19",,2,"http://www.petergallagher.com/",8212,"nm0001251","Acting","Peter Gallagher","New York City, New York, USA",26.38,"/paHKF5w1Yr0fIL1eKVMDQOmZB1n.jpg",,,
false,"[]","","1966-02-10",,1,,956385,"nm0931291","Acting","Meadow Williams","Miami, Florida, USA",11.105,"/7CQHKHgjAEcKaeTOZ2XsBVoT6Uz.jpg",,,
false,"[]","",,,2,,1075049,"nm2394568","Acting","Swen Temmel",,1.994,"/z6zLmf3PBsTGMU3RBnguAqfHUn3.jpg",,,
false,"[""Mia Perez"",""Pia Mia Perez"",""Princess Pia Mia""]","Pia Mia Perez (born September 19, 1996), better known as Pia Mia, is a Guamanian singer, songwriter, and model. She started by posting videos of herself singing on video sharing site YouTube, later going on to star in commercials and music videos.

Description above from the Wikipedia article Pia Mia, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1996-09-19",,1,"http://www.piamiamusic.com",2094603,"nm3922847","Acting","Pia Mia","Guam, United States",5.531,"/4klv1dkVPxwWoUVcKa4NBOAEJvl.jpg",,,
false,"[""Σέλμα Μπλερ"",""셀마 블레어""]","​Blair was born Selma Blair Beitner in Southfield, Michigan, the daughter of Molly Ann, a judge, and Elliot Beitner. She has three older sisters, Katherine (a book publicist), Elizabeth, and Marie. Blair attended Hillel Day School, a Jewish day school in Farmington Hills, Michigan, and Cranbrook Kingswood school in Bloomfield Hills, Michigan. She attended Kalamazoo College in Michigan, then later transferred to the University of Michigan, where she earned her bachelor's degree in 1994.  After training at the Stella Adler Conservatory of Acting, Blair began acting in the mid-90s. Blair began her career with small roles and guest roles in various television series. Blair appeared with co-stars Sarah Michelle Gellar, and Ryan Phillippe in the 1999 film Cruel Intentions , for which Blair won an MTV Movie Award for Best Kiss - Lesbian Kiss between Blair and co-star Gellar. Blair went on to star as Zoe Bean in two seasons of TV series Zoe, Duncan, Jack and Jane (1999-2000), She rejoined actress Reese Witherspoon in the comedy film Legally Blonde (2001). Later, Blair appeared in Highway (2002).

She also starred opposite Cameron Diaz and Christina Applegate in The Sweetest Thing and in two independent films that garnered her much critical acclaim: Dana Lustig's Kill Me Later and Todd Solondz's controversial Storytelling, and one of her most recognized roles, Liz Sherman in Hellboy (2004) and its successful sequel released in 2008, Hellboy II: The Golden Army based on the popular comic.

Other films include the political thiller The Deal, The Big Empty, Feast of Love (opposite Greg Kinnear and Morgan Freeman), Ed Burn's Purple Violets and the horror thriller W?Z (opposite Stellan Skarsgard).

Blair starred opposite Molly Shannon in the TV series Kath &amp; Kim, based on the Australian television series of the same name. Blair's upcoming projects are Happy Together (2009), as Mrs. Delbo, Columbus Circle (2010) and Different Kind Of Love (2011) with Juliette Lewis .

Selma can also be seen in the My Friend Steve 1998 music video Charmed .

Her stage work includes the role of Kayleen in Rajiv Joseph's Gruesome Playground Injuries, which had its world premiere at Houston's Alley Theatre in October 2009.","1972-06-23",,1,,11826,"nm0004757","Acting","Selma Blair","Southfield, Michigan, USA",13.893,"/5KfULwS7ZPZc6Ac1OP0ka2PhZZy.jpg",,,
false,"[""Инанна Саркис""]","Inanna Sarkis is a YouTube Personality, comedian, actress, writer and director. She is also best known for her vines and short films.

Description above from the Wikipedia article Inanna Sarkis, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1993-05-15",,1,,1685330,"nm5936758","Acting","Inanna Sarkis","Hamilton, Ontario, Canada",13.235,"/ryXQppP6hJ3MBx6CvJrpNgGRF4L.jpg",,,
false,"[]","","1991-08-28",,2,,1224112,"nm4511271","Acting","Samuel Larsen"," San Francisco, California, U.S.",6.696,"/a9AQOsvl0IUHe23sz7wYsgHFBn4.jpg",,,
false,"[""Дилан Арнольд""]","Dylan Arnold (born February 11, 1994) is an American actor. He is known for playing Noah in After (2019), a role which he will reprise in After We Collided (2020). He is also known for playing Cameron Elam in Halloween (2018), a role he will reprise in Halloween Kills (2020).","1994-02-11",,2,,1039523,"nm4003553","Acting","Dylan Arnold","USA",22.901,"/pij9g793mb2ZGyyNdEI7TOoJ6i8.jpg",,,
false,"[]","","1994-05-19",,1,,2161745,"nm9982544","Acting","Khadijha Red Thunder","USA",3.801,"/AggU4kVZ04OjKYM4ZZg1pqVVu8F.jpg",,,
false,"[]","Shane Paul McGhie (born 26 November 1993) is an American actor.

He attended the University of Southern California (USC), where he graduated with a BFA in Acting in 2016. He is known for his role as Jamal Barry in What Men Want (2019) ,which starred Taraji P. Henson, and for portraying Landon Gibson in the movie After (2019).","1993-11-26",,2,,1684130,"nm6341784","Acting","Shane Paul McGhie","Los Angeles, California, US",5.065,"/xrW5ioE8lihmmuu1ov1wWBpOWYp.jpg",,,
false,"[]","Hero Fiennes Tiffin (born 6 November 1997) is an English actor and model born in London, England. He is best known for his role as the 11-year-old Tom Riddle, the young version of Lord Voldemort (played in the films by his uncle, Ralph Fiennes) in Harry Potter and the Half Blood Prince (2009). He portrayed Hardin Scott in the movie After (2019).","1997-11-06",,2,,1114487,"nm2842005","Acting","Hero Fiennes Tiffin","London, England, U.K.",32.549,"/6zMrrZvOMH6uGwEFoK0Uo8sZvxL.jpg",,,
false,"[""Джозефин Лэнгфорд"",""Jo Langford""]","Josephine Langford (born 18 August 1997) is an Australian actress best known for her role as Tessa Young in After (2019).","1997-08-18",,1,,1753914,"nm6466214","Acting","Josephine Langford","Perth, Australia",37.724,"/hcAR7LVcjNBdy3LVkWg7sfH0KH4.jpg",,,
false,"[""Marian Kozłowski""]","","1957-09-08","2010-05-11",2,,107634,"nm0468959","Acting","Maciej Kozłowski","Kargowa, Polska",0.6,"/g41TymaNjAEhgCcbnutiKs7he3P.jpg",,,
false,"[]","","1958-04-14",,2,,1678870,,"Acting","Sławomir Holland","Warszawa, Polska",0.6,"/5IqTe15YWMECEZVJZ0dGcLIDgQw.jpg",,,
false,"[]","Jerry Flynn trained at the Royal Academy of Dramatic Art between 1978 and 1980. His contemporaries included Sir Kenneth Branagh, Mark Rylance, Richard McCabe, John Sessions, and Paul McGann. After graduating he worked with Deborah Warner in her Kick Theatre production of ‘Woyczek’, and touring productions of ‘Macbeth’ and ‘The Trial’; he later worked in regional Rep. theatre [George in Anthony Clarke’s ‘Of Mice and Men’ at Birmingham Rep., Melchior in Tom Stoppard’s ‘On the Razzle’ at Leeds Playhouse, Kelly in Daniel Mornin’s ‘Short of Mutiny’, and in ‘Pericles’ also at the Theatre Royal Stratford East London. Between 1984 and 1988 he worked at the Royal National Theatre. His first play was for Bill Bryden taking the leading role in Clifford Odet’s ‘Golden Boy’, for which he received both critical acclaim (Frank Rich, Milton Shulman, Sheridan Morley, Michael Billington) and a Most Promising Newcomer nomination. He continued at the RNT, first playing Vardaman in Peter Gill’s initial production of ‘As I Lay Dying’, then for Sir Peter Hall (Eros & the Clown in ‘Anthony & Cleopatra’, Arviragus in ‘Cymbeline’ and The Clown in ‘The Winter’s Tale’), and finally for John Burgess playing Charles in ‘Schism in England’. Since the 1990’s he has taken leading roles in touring productions of ‘The Caretaker’ (Mick), ‘Someone Who’ll Watch Over Me’ (Edward), ‘Stones in his Pockets’ (Charlie Conlon), and ‘Edmund Kean’ (Edmund Kean). He has worked in numerous films (‘Comrades’, ‘Schindler’s List’, ‘Our God’s Brother’, ‘White Raven’, ‘Afraid of the Dark’, ‘Samson and Delilah’, ‘A Polish Death’ and ‘Desert Lunch’), TV and radio projects. In the mid 1990s Jerry Flynn became co-founder and Artistic Director of The Globe Theatre Arts Foundation in Warsaw Poland. With the support of the Prudential Foundation, the EU arts fund and numerous international corporate sponsors, the Globe Theatre Group staged cutting-edge English theatre productions in Poland, brining professional artists in from the UK, Ireland, and the USA. During his time in Poland he also adapted and directed drama for Polish TV (The Signalman, The Rocking Horse Winner, Treasure Island). Jerry Flynn is also a qualified teacher and lecturer in Theatre Arts studies.",,,2,,2981772,"nm0283490","Acting","Jeremy Flynn",,0.6,"/qMgWN4fajlV5Y8EyQ9L441ebN2k.jpg",,,
false,"[""Павел Делонг"",""Pavel Delong"",""Pawel Delong"",""Pawel Delag""]","Polish and Russian actor. In 1993 he graduated from the Ludwik Solsky Higher Theater School in Krakow. Since 1993 - on the stage. He played in the theaters of Warsaw, Kielce, Wroclaw. He made his debut in the film by Steven Spielberg ""Schindler's List"" (1993). Pavel Delong is one of the most popular Polish new generation actors in Russia and the CIS countries. Actively removed in Russia, Belarus, Ukraine, France. Has a son, Paul (born in 1993). Lives in Moscow.","1970-04-29",,2,,107637,"nm0216117","Acting","Paweł Deląg","Kraków, małopolskie, Polska",4.027,"/vS4Otxn5Rj08g2DN7DpPg8Efld7.jpg",,,
false,"[]","",,,0,,1950804,,"Acting","Katarzyna Tlalka",,0.6,,,,
false,"[]","",,,0,,1950803,,"Acting","Ben Talar",,0.6,,,,
