"adult","also_known_as","biography","birthday","deathday","gender","homepage","id","imdb_id","known_for_department","name","place_of_birth","popularity","profile_path"
false,"[]","Nancy Jane Meyers is an American film director, producer and screenwriter. She is the writer, producer and director of several big-screen successes, including The Parent Trap (1998), Something's Gotta Give (2003), The Holiday (2006), and It's Complicated (2009). Her second solo venture, What Women Want (2000), was at one point the most successful film ever directed by a woman, taking in $183 million in the United States.","1949-12-08",,1,,17698,"nm0583600","Writing","Nancy Meyers","Philadelphia, Pennsylvania, USA ",1.624,"/aK2lYDBYhWU9MJdNV0y1EvXiNo0.jpg"
false,"[]","","1958-08-12",,2,,66191,"nm0176905","Directing","Barry Cook","Nashville, Tennessee, USA",0.75,"/y0lmcTr8fkC0jsfIJxNrUSSUzPn.jpg"
false,"[]","Tony Bancroft has spent the past 16 years developing his skills as an  Animator/Director with Walt Disney Feature Animation, Sony Imageworks,  and currently with Toonacious Family Entertainment, his own animation  studio.

In 2001, with his two partners, Tony started Toonacious Family  Entertainment, as Executive VP/Creative Production. Using his 16 years  experience in the animation industry, Tony has helped to make Toonacious  an animation studio committed to producing quality family  entertainment. -IMDB","1967-07-31",,2,,66190,"nm0051643","Directing","Tony Bancroft","Orange County, California, USA ",2.117,"/mMptwiAxSTm8nLV8chWIphePi69.jpg"
false,"[]","",,,0,,1997986,,"Directing","Joel Antonio Colón",,0.6,
false,"[]","Timothy Greenfield-Sanders’ portraits are in the collections of The Museum of Modern Art, The New York Public Library, The Whitney Museum and The National Portrait Gallery among others. In 2004, his series of 700 art world portraits was accepted into the permanent collections of The Museum of Modern Art and the Museum of Fine Arts, Houston.

A number of books on Greenfield-Sanders’ work have been published: “Art World” (Fotofolio), “Timothy Greenfield-Sanders” his first monograph, (Alberico Cetti Serbelloni Editori), “XXX: 30 Porn-Star Portraits” (Bulfinch Press) “Face to Face” (Skira), “Look: Portraits Backstage at Olympus Fashion Week” (Powerhouse) “The Black List” (Atria) “The Latino List (Luxury), “The Black List 50” (Luxury), “The Out List” (Luxury), “The Boomer List (Luxury) and “The Trans List (Perfect Day Books).

To date, Greenfield-Sanders has produced and directed twelve films. His first, “Lou Reed: Rock and Roll Heart“, a feature documentary about the legendary musician aired in April 1998 on PBS’ American Masters, premiered in the U.S. at The Sundance Film Festival and in Europe at The Berlin Film Festival. The film won a 1999 Grammy Award for best music documentary.

“Thinking XXX“, a film about the making of his XXX book, aired in October 2004 on HBO. A soundtrack CD was released in November 2004 by Ryko Records. In addition, in October 2004, the XXX portraits were exhibited at Mary Boone Gallery in New York and then at Berggruen Gallery in San Francisco, Kluser Gallery in Munich, Berman/Turner Projects in Los Angeles, Paolo Curti Gallery in Milan and Howard Russeck Gallery in Palm Beach.

In 2006, Greenfield-Sanders photographed injured soldiers and marines for HBO’s film, “Alive Day Memories“. The images were widely published, shown in numerous exhibitions and purchased by The Library of Congress.

Between 2008-2010, Greenfield-Sanders produced and directed The Black List Project: a series of 3 documentaries for HBO, a traveling museum exhibition of portraits organized by the Museum of Fine Arts, Houston, a book with Atria, DVDs with Target and an educational initiative with The United Negro College Fund.

On September 25th, 2015, “American Masters: The Women’s List” aired on PBS. In addition, “50 Portraits of Women” were exhbited at the Hearst Tower in New York and at the Fisher Landau Museum in Queens, NY.

Greenfield-Sanders’ latest film, The Trans List, aired on HBO on December 5th, 2016. Opening in September 2016 through February 2017, The Annenberg Space for Photography in Los Angeles exhibited, for the first time, all of the List films and portraits.

Timothy Greenfield-Sanders received a B.A. in Art History from Columbia University and a Master’s Degree in film from the American Film Institute in Los Angeles. He is a contributing photographer at Vanity Fair magazine.","1952-02-16",,2,"https://www.greenfield-sanders.com/",143296,"nm0339026","Directing","Timothy Greenfield-Sanders","Miami Beach, Florida, USA",1.4,"/jwkTwUETWAubkvWMg3X9e0hMLGG.jpg"
false,"[""존 슐츠""]","John Schultz is an American film director, screenwriter and producer.

Schultz has directed such films as Bandwagon, Drive Me Crazy, Like Mike, When Zachary Beaver Came to Town, The Honeymooners Aliens in the Attic and Judy Moody and the Not Bummer Summer.

Description above from the Wikipedia article John Schultz, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,2,,79656,"nm0776271","Directing","John Schultz",,1.715,"/dYQG85NJmHimSdWYxjKT9iTXgJl.jpg"
false,"[]","",,,2,,1415967,"nm3219449","Directing","Fabian Burstein",,0.6,
false,"[""Alejandro de la Iglesia Mendoza""]","​From Wikipedia, the free encyclopedia.  

Alejandro ""Álex"" de la Iglesia Mendoza (born December 4, 1965) is a Spanish film director.

Most of De La Iglesia's films reached cult status thanks to their weird sense of humour.

Description above from the Wikipedia article Álex de la Iglesia Mendoza  licensed under CC-BY-SA, full list of contributors on Wikipedia.","1965-12-04",,2,,57865,"nm0407067","Directing","Álex de la Iglesia","Bilbao, Spain",2.38,"/vyZFSSNtY2jL06v4nJHLIT5fWa2.jpg"
false,"[]","Jeffrey Tremaine (born September 4, 1966) is an American film director, screenwriter, producer, and showrunner. He is most closely associated with the Jackass franchise, having been involved since the inception of the original show in the early 2000s.

Description above from the Wikipedia article Jeff Tremaine, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1966-09-04",,2,,56578,"nm0871860","Acting","Jeff Tremaine","Rockville, Maryland, U.S.",10.305,"/3R8FemTgvyY1vLn9r0lYlL45P3Q.jpg"
false,"[""박준수""]","",,,0,,2042738,,"Directing","Park Jun-soo",,0.999,
true,"[""Brynn Pryor"",""Bryn Pryor"",""Eli Cash"",""Mark Logan"",""Gus Delario"",""Robert April""]","Eli Cross (Bryn Pryor) became a filmmaker at the age of nine with a stop-motion epic that pitted Micronauts against the local alien villains in Kenner's Mos Eisley Cantina playset. Apache Junction, Arizona was a dangerous place to be a toy in 1979.

In the intervening decades, Eli has directed just about everything you can point a camera at, including four extremely bad films for Roger Corman's Concorde/New Horizons Studios, creating utterly forgettable moments with stars like Eric Roberts and Martin Sheen. His dramatic feature ""Poker"" won Best Drama at the 2000 IFP East film festival, and Best Original Screenplay at the 2001 Angel City Film Festival.

His most recent projects include the horror indie ""iKllr"" (as the Director of Photography), set for theatrical release in 2015, the steampunk western ""Cowboys & Engines,"" starring Richard Hatch, Walter Koenig and Malcolm McDowell, and ""X-Rated,"" Showtime's in-depth documentary about the greatest movies to come out of the adult industry.

His current projects include expanding ""Cowboys & Engines"" into a complete feature film, finishing the follow-up to ""X-Rated,"" and writing and directing ""Diminuendo,"" a science fiction romance scheduled to be shot in early 2016.","1967-11-10",,2,,236031,"nm0699389","Directing","Eli Cross","Phoenix, Arizona, USA",8.869,"/gvcuYeRMltvRa4mnxTbxkwBJPXq.jpg"
false,"[]","",,,1,,1036816,"nm4991098","Directing","Jill Bauer","USA",0.6,
false,"[]","",,,1,,1036815,"nm4991143","Directing","Ronna Gradus","USA",0.6,
false,"[]","",,,2,,116804,"nm0770643","Directing","John Scheinfeld",,0.675,
false,"[]","",,,0,,1042212,"nm0994529","Directing","Thomas C. Grane",,1.96,
false,"[]","",,,0,,1806180,,"Production","Sam Hurwitz",,0.6,
false,"[]","","1963-01-01",,1,,78667,"nm0025251","Writing","Carmine Amoroso","Lanciano, Chieti",0.785,
false,"[]","Laurent Bouzereau is a French-American award-winning documentary filmmaker, producer, and best-selling author. He is best-known for  his home video/movie documentary work. His name has appeared in the closing credits for over 200 ""making-of"" documentaries and featurettes.","1961-11-30",,2,"http://www.nedlandmedia.com/",936584,"nm0100522","Directing","Laurent Bouzereau","Paris, France",1.473,"/hZxoxQnJbhYMhwOh5vkEtdkfIOy.jpg"
false,"[""Bryce R. Wagoner III""]","","1975-10-03",,2,,1046759,"nm1910738","Directing","Bryce Wagoner","Lynchburg, Virginia, USA",1.22,
false,"[]","Timothy Miller is an American film director and visual effects artist. He made his feature-film directing debut with Deadpool. He was nominated for the Academy Award for Best Animated Short Film as co-story writer and executive producer of the short animated film Gopher Broke.","1964-10-10",,2,,55252,"nm1783265","Directing","Tim Miller","Fort Washington, Maryland, États-Unis",5.932,"/dCyBYwhO76j5wA96HPb6k5xk2Le.jpg"
false,"[""Seth Woodbury MacFarlane"",""Seth Mac Farlane"",""Seth McFarlane"",""سيث ماكفارلن"",""塞思·麦克法兰"",""Сет МакФарлейн"",""セス・マクファーレン"",""세스 맥팔레인"",""Σεθ Γούντμπερι ΜακΦάρλαν"",""Σεθ ΜακΦάρλαν""]","Seth Woodbury MacFarlane (born October 26, 1973) is an American animator, writer, comedian, producer, actor, singer, voice actor, and director best known for creating the animated sitcoms Family Guy, American Dad! and The Cleveland Show, for which he also voices many of the shows' various characters.

A native of Kent, Connecticut, MacFarlane is a graduate of the Rhode Island School of Design, where he studied animation, earning a Bachelor of Fine Arts Degree. He was an animator and writer for Hanna-Barbera for several television shows, including Johnny Bravo, Cow and Chicken and Dexter's Laboratory, before creating his own series for 20th Century Fox entitled Family Guy in 1999. MacFarlane would go on to co-create American Dad! in 2005, The Winner in 2007 and The Cleveland Show in 2009 for 20th Century Fox.

As an actor, he has made guest appearances on shows such as Gilmore Girls, The War at Home and FlashForward. MacFarlane's interest in science fiction and fantasy has led to cameo and guest appearances on Star Trek: Enterprise and voicing the character of Johann Kraus in Guillermo del Toro's Hellboy II: The Golden Army. In 2008, he created his own YouTube series entitled Seth MacFarlane's Cavalcade of Cartoon Comedy. As a performer, MacFarlane has sung at several venues, including Carnegie and Royal Albert Hall.

MacFarlane has won several awards for his work on Family Guy, including two Primetime Emmy Awards, and an Annie Award. In 2009, he won the Webby Award for Film & Video Person of the Year. He has been a subject of criticism from television watchdog groups, such as the Parents Television Council, who regularly condemn Family Guy for its indecency. He occasionally speaks at universities and colleges throughout the United States, and is a supporter of gay rights.

On the February 10, 2011 episode of the TBS variety nighttime talk-show series Conan, MacFarlane announced he is directing his first feature-length film, Ted. The film stars Mark Wahlberg as an adult, who as a child, wished his teddy bear would come to life. MacFarlane will be the voice and motion capture for the bear.","1973-10-26",,2,,52139,"nm0532235","Acting","Seth MacFarlane","Kent, Connecticut, USA",18.001,"/8oQJqM51Z0Qtdb7sE6ZfX1peNCB.jpg"
false,"[""金崎貴臣""]","","1977-04-24",,2,,1281402,"nm1993246","Directing","Takaomi Kanasaki",,1.96,
false,"[""Дэвид Литч""]","David Leitch (born November 16, 1975) is an American filmmaker, actor, stunt performer and stunt coordinator who made his directorial debut on the 2014 action film John Wick with Chad Stahelski, though only Stahelski was credited. Leitch then directed the 2017 thriller film Atomic Blonde, starring Charlize Theron, and 2018's Deadpool 2, the sequel to the 2016 film. In 2019, he directed Hobbs & Shaw, a spin-off of the Fast & Furious franchise.","1969-12-31",,2,,40684,"nm0500610","Directing","David Leitch","Stratford, Texas, USA",6.864,"/qykhwWkXTAteD9yvsmItXh9LxCq.jpg"
false,"[""نیما نوری‌زاده""]","Nima Nourizadeh is an Iranian-British commercial and film director and editor. His debut film is Project X, released in March 2012. Prior to making Project X, he directed music videos for Dizzee Rascal, Pink Grease, Franz Ferdinand, Bat for Lashes, Santigold, Hot Chip, Yelle and Lily Allen. He also directed advertisements for Adidas. Nourizadeh is the son of political activist Alireza Nourizadeh and his siblings are electronic music producers Omid 16B and Navid. His next film is an action comedy titled American Ultra starring Jesse Eisenberg, Kristen Stewart, Connie Britton, John Leguizamo, and Topher Grace.","1977-11-12",,2,,1299380,"nm1294036","Directing","Nima Nourizadeh","London, England, U.K.",3.063,"/s8jof2uGXSXmo0El4D1RYZaXxeL.jpg"
false,"[]","Taylor Edwin Hackford (born December 31, 1944 in Santa Barbara, CA) is an American film director and producer. He is best known for his work on films such as ""An Officer and a Gentleman"" (1982), ""The Devil's Advocate"" (1997) and ""Proof of Life"" (2000), and for directing Jamie Foxx to an Academy Award for Best Actor in ""Ray"" (2004). Hackford served as president of the Directors Guild of America from 2009 to 2013.","1944-12-31",,2,,18596,"nm0000431","Directing","Taylor Hackford","Santa Barbara, California, U.S.",7.162,"/aAP9RYT7XxUiC2NZL9Hi2gEdxGB.jpg"
false,"[""Мэттью Вон"",""马修·沃恩"",""マシュー・ヴォーン"",""ماثيو فون"",""Matthew de Vere Drummond"",""馬修范恩"",""매튜 본""]","Matthew Vaughn is an English film producer and director known for producing such films as Lock, Stock and Two Smoking Barrels (1998) and Snatch (2000) and directing the films Layer Cake (2004), Stardust (2007) and Kick-Ass (2010).","1971-03-07",,2,,957,"nm0891216","Production","Matthew Vaughn","London, England, UK",13.164,"/Dnbz3B7yy4u0abixuD5LakZgsy.jpg"
false,"[]","Shane Black (born December 16, 1961) is an American film director, producer, screenwriter and actor who has written such films as Lethal Weapon and Lethal Weapon 2, The Monster Squad, The Last Boy Scout, Last Action Hero and The Long Kiss Goodnight. As an actor, Black is best known for his role as Rick Hawkins in Predator (1987).

He made his directorial debut with the film Kiss Kiss Bang Bang in 2005. Black went on to write and direct Iron Man 3 (2013), The Nice Guys (2016) and The Predator (2018).","1961-12-16",,2,,1108,"nm0000948","Writing","Shane Black","Pittsburgh, Pennsylvania, USA",7.736,"/fafBg8LjtQqsXyFg8ZgW7DHQXKt.jpg"
false,"[""Scott Charles Stewart""]","From Wikipedia, the free encyclopedia.

Scott Charles Stewart is an American film director, writer, producer and visual effects developer.",,,2,,116357,"nm0829820","Directing","Scott Stewart",,1.356,
false,"[]","",,,0,,1040707,"nm2108205","Directing","Sid Bennett",,1.64,
false,"[]","Marc Forster (Illertissen, November 30, 1969) is a German-Swiss filmmaker and screenwriter, known for films such as Monster's Ball, Finding Neverland, Stranger than Fiction, The Kite Runner, and the James Bond film Quantum of Solace.

Description above from the Wikipedia article Marc Forster, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1969-11-30",,2,,12995,"nm0286975","Directing","Marc Forster","Illertissen, Germany",6.262,"/m3WEGG6czBjgFULVyVQy6EJvUsZ.jpg"
false,"[""제임스 완"",""Джеймс Ван"",""温子仁"",""詹姆斯·温""]","James Wan (born 26 February 1977) is a Malaysia-born Australian film director, screenwriter, producer, and comic book writer. He has primarily worked in the horror genre as the co-creator of the ""Saw"" and ""Insidious"" franchises and the creator of ""The Conjuring"" universe. Wan is also the founder of Atomic Monster Productions, which has produced film and television projects.

After directing the micro-budget film ""Stygian"" (2000), Wan made his professional feature directorial debut with ""Saw"" (2004). The film was a hit and launched a franchise that has grossed more than $1 billion globally. Following a period of setbacks with the underperforming titles ""Dead Silence"" and ""Death Sentence"" (both 2007), Wan returned to commercial success with the PG-13 supernatural horror-fantasy ""Insidious"" (2010), and went on to direct ""Insidious: Part 2"" (2013) and to produce further sequels in the series. In between his two ""Insidious"" projects, Wan directed the more traditional supernatural horror film ""The Conjuring"" (2013), which achieved enormous critical and commercial success and spawned a sprawling set of sequels and spin-offs collectively known as The Conjuring Universe. Wan served as the director of ""The Conjuring 2"" (2016) while producing subsequent films in the franchise such as ""Annabelle"" (2014) and ""The Nun"" (2018). The Conjuring Universe is the second highest-grossing horror franchise at over $2 billion.

Outside of horror, Wan directed ""Furious 7"" (2015), the seventh installment in the ""Fast & Furious"" franchise, and the DC Extended Universe superhero film ""Aquaman"" (2018). Both grossed over $1 billion, making Wan the eighth director with two films to reach the milestone. He is the 20th highest-grossing director of all time as of 2021, with his films having grossed over $3.6 billion worldwide.","1977-02-26",,2,,2127,"nm1490123","Production","James Wan","Kuching, Sarawak, Malaysia",10.557,"/bNJccMIKzCtYnndcOKniSKCzo5Y.jpg"
false,"[]","",,,0,,1140975,"nm2551786","Visual Effects","Ascanio Malgarini",,0.6,
false,"[]","","1967-11-18",,2,,1047497,"nm1538324","Directing","Christian Bisceglia","Paderno Dugnano, Italia",0.6,
false,"[""David Mitchell""]","David Robert Mitchell is an American director mainly known for the breakout horror film ''It Follows'' which had its world premiere at the Cannes Film Festival in May 2014. in 2002, Mitchell wrote and directed ''Virgin'' a short film featuring Carolina Castro and Cameron Diskin about a local legend sees a vision of Virgin Mary which leads him to the pursuit of true love, in 2010, he wrote and directed ''The Myth of The American Sleepover'' which starred Claire Sloma and Marlon Morton, the film had its world premiere at the Cannes Film Festival on May 17, 2010. It was released on July 22, 2010 in a limited release.","1974-01-01",,2,,558929,"nm1379002","Writing","David Robert Mitchell","Clawson, Michigan, USA",2.086,"/i0XKqclsHNO8JAD7yNuuUNOUXG3.jpg"
false,"[]","David Pastor (1978 in Barcelona) is a spanish writer, producer and director known for Carriers (2009), The Last Days (2013), Eternal (2015) and The Occupant (2020).

His younger brother, Alex Pastor, is director and producer. Usually they work together.","1978-07-25",,2,,94222,"nm0665041","Writing","David Pastor","Barcelona - Catalonia - Spain",2.397,"/bswaVitByWWca3ewtoZGSXUF1qT.jpg"
false,"[]","","1981-03-13",,2,,94220,"nm1883612","Writing","Àlex Pastor","Barcelona, Spain",1.96,"/yiZbtm5A0wkmRaIslijH6kmEl8s.jpg"
false,"[""Timur Bekmambetov"",""Timur Bekmambetow"",""Тимур Бекмамбетов"",""Timur Nuruakhitovich Bekmambetov""]","Timur Nuruakhitovich Bekmambetov (born 25 June 1961) is a Kazakh-Russian director, producer and screenwriter who has worked on films and commercials. He is mostly popular for the Russian film Night Watch (2004) and its sequel Day Watch (2006), and the American film Wanted (2008).

From Wikipedia, the free encyclopedia","1961-06-25",,2,,23430,"nm0067457","Production","Timur Bekmambetov","Guryev, Kazakh SSR, USSR [now Atyrau, Kazakhstan]",5.351,"/w4C8qeeWRvD7rbIj3elTvhdxjT.jpg"
false,"[]","Declan O'Brien was the President of Fairport Filmworks as well as a writer, director and producer. He directed the third, fourth and fifth films of the Wrong Turn series, with the latter two also serving as writer. Most recently, he directed Roger Corman's horror flick Sharktopus and has worked with Syfy writing the film The Snake King.","1965-12-21","2022-02-16",2,,126882,"nm0639508","Directing","Declan O'Brien","Rochester, New York, USA",5.465,"/enAO24c04E9mM3IIfh3PYAeNy4Q.jpg"
false,"[""Six""]","Tom Six was born in Alkmaar, Noord-Holland, in the Netherlands on August 29, 1973. He has stated that his love of film began at an early age, when he would run around with his grandfather's camera, recording the world around him.  Six was heavily influenced by a number of horror films released during his upbringing, such as the 1975 Italian ""drama"" film Saló, or the 120 Says of Sodom and the 1979 Canadian horror film The Brood. Six has stated that Salò is the sickest film he has ever seen. Tom Six's trademark outfit consists of a cowboy hat and sunglasses. He is also an AK-47 enthusiast, a painter and a ""curryholic"" (a person with an affinity for spicy curries). He owns a pug named Nigel. (Source: Wikipedia, 09/05/12)","1973-08-29",,2,,118639,"nm1519353","Directing","Tom Six","Alkmaar, Noord-Holland, Netherlands",1.983,
false,"[""むらた雅彦""]","He is Animation Director.  Born on August 8th. Born in Saitama Prefecture. Free through shaft and group tack. Served as the first director of OVA “Mazinkaiser”. The main director's works are the movie “The Naruto Shippuden: The Successor of the Fire”, “The Naruto Shippuden The Lost Tower”, and “The Naruto Blood Prison”. In the TV series, there are “Gilgamesh”, “Tatsumi Hime”, “Tsubaki Hime Gen”, “NARUTO-SD Rock Lee Youth Full Power Shinobu”",,,2,,116065,"nm1496044","Directing","Masahiko Murata","Saitama Prefecture, Japan",3.701,"/jZKZNZjwhx2DETCT5IFi64VFphx.jpg"
false,"[""Джо Линч"",""Fernando Phagabeefy""]","Joe Lynch is an American film director, producer, and actor.

Lynch began his career as a child actor, however he soon became obsessed in filmmaking. His first two student shorts, mAHARBA & hiBeams, were selected to screen at many film festivals. He was named ""Filmmaker of the Year"" in 1999 by the Long Island Voice.

Lynch has directed music videos for such groups as DVDA, Pete Yorn, Strapping Young Lad, 311 and Godhead. He was also one of the creators of the television show Uranium for Fuse TV.

His directorial debut in feature film was 2007's Wrong Turn 2: Dead End,which starred Henry Rollins, Erica Leerhsen, and Texas Battle.

Description above from the Wikipedia article Joe Lynch, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1950-01-01",,2,,84335,"nm1362570","Directing","Joe Lynch","Long Island, New York, U.S.",3.916,"/maeIOyMqToTT0XuWxO0Fy40lNzR.jpg"
false,"[]","Corin Hardy (born 6 January 1975) is an English director, best known for the supernatural horror films ""The Hallow"" (2015) and ""The Nun"" (2018).","1975-01-06",,2,"http://www.corinhardy.com/",1401474,"nm2379028","Directing","Corin Hardy","United Kingdom",1.44,"/p1ggxloo9MMOS72BLGuM3NOzhxQ.jpg"
