"adult","also_known_as","biography","birthday","deathday","gender","homepage","id","imdb_id","known_for_department","name","place_of_birth","popularity","profile_path"
false,"[""에밀 허쉬""]","Emile Davenport Hirsch (born March 13, 1985) is an American actor. He played Chris McCandless in Into the Wild (2007). Other notable film roles include The Girl Next Door (2004), Lords of Dogtown (2005), Alpha Dog (2006), Speed Racer (2008), Milk (2008), Lone Survivor (2013), An Evening with Beverly Luff Linn (2018), and Once Upon a Time in Hollywood (2019).

Description above from the Wikipedia article Emile Hirsch, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1985-03-13",,2,,46593,"nm0386472","Acting","Emile Hirsch","Topanga Canyon, California, USA",19.794,"/qxshYNcE9yYBvdY5oXp9v6lglG0.jpg"
false,"[""Тейлор Китч""]","Taylor Kitsch is a Canadian actor and model best known for his portrayal of football player Tim Riggins on the NBC series ""Friday Night Lights"". He was in many movies including the supernatural film ""The Covenant"", the X-Men spin-off ""X-Men Origins: Wolverine"", the Disney film ""John Carter"", the war film ""Lone Survivor"" and HBO's lgbt drama ""The Normal Heart"". In November 2014, he was cast in the second season of HBO's popular anthology crime series ""True Detective"". ","1981-04-08",,2,,60900,"nm2018237","Acting","Taylor Kitsch","Kelowna, British Columbia, Canada",14.349,"/m39IoFjaJWiCoFYv0DfYCklOeOS.jpg"
false,"[]","",,,2,,2023564,,"Acting","Stephen Alpert",,0.6,
false,"[""西村雅彥"",""니시무라 마사히코"",""西村まさ彦"",""西村雅彦""]","","1960-12-12",,2,,20333,"nm0632761","Acting","Masahiko Nishimura","Toyama, Japan",3.337,"/2fXvxAI4KySYgp9KZMzkK4q2TkY.jpg"
false,"[""타키모토 미오리"",""瀧本美織""]","Miori Takimoto is a Japanese actress and a former singer. Takimoto debuted in 2003 as a singer of the girl group Sweets, where she performed under the name Miori. After Sweets disbanded, Takimoto appeared on television as an actress.","1991-10-16",,1,,227612,"nm3768523","Acting","Miori Takimoto","Tottori, Japan",4.484,"/6NeYcLSGP66tZZCkedaPXWQyARP.jpg"
false,"[""西島秀俊""]","Hidetoshi Nishijima (born March 29, 1971) is a Japanese actor. He is widely regarded as one of Japan's leading actors in numerous films and television drama series. He has appeared in a wide range of films from epic science fiction films such as Shin Ultraman (2022) to small-scale art films such as Dolls (2002). He is best known internationally for his leading role in the film Drive My Car (2021). He received the Japan Academy Film Prize for Best Actor for the film.

Description above from the Wikipedia article Hidetoshi Nishijima, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1971-03-29",,2,,13250,"nm0632689","Acting","Hidetoshi Nishijima","Tokyo Prefecture, Japan",12.873,"/3FBdbeMMWfyKmHS5j8IECwsZWcY.jpg"
false,"[""Джейсон Айзекс"",""Τζέισον Άιζακς"",""제이슨 아이삭스""]","Jason Michael Isaacs (born 6 June 1963) is an English actor. His most notable film roles include Col. Tavington in The Patriot (2000), Michael D. Steele in Black Hawk Down (2001), Lucius Malfoy in the Harry Potter film series (2002–2011), Capt. Hook in Peter Pan (2003), Marshal Georgy Zhukov in The Death of Stalin (2017), and Vasili in Hotel Mumbai (2018). His other films include Divorcing Jack (1998), The End of the Affair (1999), Sweet November (2001), The Tuxedo (2002), Nine Lives (2005), Friends with Money (2006), Good (2008), Green Zone (2010), Abduction (2011), A Cure for Wellness (2016), and Mass (2021).

Isaacs's roles in television have included Det. Michael Britten in the NBC series Awake (2012), Dr. Hunter Aloysius ""Hap"" Percy in the Netflix supernatural mystery drama streaming series The OA (2016–19) and Captain Gabriel Lorca in the first season of Star Trek: Discovery (2017–18). He was also the voice of Adm. Zhao in the first season of Avatar: The Last Airbender (2005), a role he reprised in the second season of The Legend of Korra (2013), and the Grand Inquisitor (as well as the Sentinel) in Star Wars Rebels (2014–16).

He was nominated for the Golden Globe Award for Best Actor – Miniseries or Television Film for The State Within (2006) and for the British Academy Television Award for Best Actor for his portrayal of Harry H. Corbett in The Curse of Steptoe (2008). He also was nominated for the International Emmy Award for Best Actor and won the Satellite Award for Best Actor – Miniseries or Television Film for Case Histories (2011–13) and was nominated for the Satellite Award for Best Actor – Television Series Drama for Brotherhood (2006–08)

Isaacs has appeared on stage as Louis Ironson in Declan Donnellan's 1992 and 1993 Royal National Theatre premiere of Tony Kushner's Pulitzer Prize-winning play Angels in America: A Gay Fantasia on National Themes, and as hitman Ben in a 2007 revival of Harold Pinter's 1957 play The Dumb Waiter at Trafalgar Studios in the West End.","1963-06-06",,2,,11355,"nm0005042","Acting","Jason Isaacs","Liverpool, Merseyside, England, UK",25.381,"/nlim5RpNgpNcN0BWhhOCWmaMEHI.jpg"
false,"[""إيوان مكريغور"",""이완 맥그리거"",""ユアン・マクレガー"",""Юэн МакГрегор"",""ยวน แม็คเกรเกอร์"",""伊万·迈克格雷戈"",""伊万·麦克格雷格"",""Γιούαν Γκόρντον ΜακΓκρέγκορ"",""Γιούαν ΜακΓκρέγκορ"",""יואן מקגרגור""]","Ewan Gordon McGregor (born 31 March 1971) is a Scottish actor who has starred in numerous film and musical roles. His first professional role was in 1993, as a leading role in the British Channel 4 series Lipstick on Your Collar. He then achieved international fame with his portrayals of heroin addict Mark Renton in the drama films Trainspotting (1996) and T2 Trainspotting (2017), Obi-Wan Kenobi in the Star Wars prequel trilogy (1999–2005) and the Disney+ series Obi-Wan Kenobi (2022), poet Christian in the musical film Moulin Rouge! (2001), SPC John Grimes in Black Hawk Down (2001), young Edward Bloom in Big Fish (2003), Rodney Copperbottom in Robots (2005), Camerlengo Father Patrick McKenna in Angels and Demons (2009), ""the ghost"" in Roman Polanski's political thriller The Ghost Writer (2010), Dr. Alfred Jones in the romantic comedy-drama Salmon Fishing in the Yemen (2011), Lumière in the live-action adaptation of the musical romantic fantasy Beauty and the Beast (2017), the adult version of the titular character in the fantasy comedy-drama Christopher Robin (2018), the adult version of Dan Torrance in the horror film Doctor Sleep (2019), and Black Mask in the DC Extended Universe superhero film Birds of Prey (2020). In 2021, he portrayed fashion designer Halston in a Netflix miniseries Halston.

In 2018, McGregor won a Golden Globe Award for Best Actor – Miniseries or Television Film for his dual role as brothers Ray & Emmit Stussy in the third season of FX anthology series Fargo, and received Golden Globe nominations for Best Actor – Musical or Comedy for both Moulin Rouge! and Salmon Fishing in the Yemen. McGregor has also starred in theatre productions of Guys and Dolls (2005–2007) and Othello (2007–2008). He was ranked number 36 on Empire magazine's ""The Top 100 Movie Stars of All Time"" list in 1997. In a 2004 poll for the BBC, McGregor was named the fourth most influential person in British culture.","1971-03-31",,2,"http://ewanmcgregor.net/",3061,"nm0000191","Acting","Ewan McGregor","Perth, Scotland, UK",43.745,"/qYRGu6NIqkUYIO7ftso110WNQ6P.jpg"
false,"[""Joshua Hartnett"",""Joshua Daniel Hartnett""]","Joshua Daniel ""Josh"" Hartnett (born July 21, 1978) is an American actor and producer. He first came to audiences' attention in 1997 as ""Michael Fitzgerald"" in the television series Cracker. He made his feature film debut in 1998, co-starring with Jamie Lee Curtis in Halloween H20: 20 Years Later. That same year, he received an MTV Movie Award nomination for Best Breakthrough Male Performance. Hartnett gained fame for his role as Cpt Danny Walker in Pearl Harbor, and has starred since then for a variety of well-known directors such as Ridley Scott, Brian De Palma, Robert Rodriguez, Tran Anh Hung and Michael Bay.

​From Wikipedia, the free encyclopedia","1978-07-21",,2,,2299,"nm0001326","Acting","Josh Hartnett","Saint Paul, Minnesota, USA",27.523,"/dCfu2EN7FjISACcjilaJu7evwEc.jpg"
false,"[""Linda \""Lin\"" Shaye""]","Lin attended the University of Michigan, where she was an Art History major, although acting in as many University productions as possible, including ""Bye Bye Birdie"" and ""On The Town"". After U of M, she attended Columbia University School of the Arts, and acquired a Master of Fine Arts degree in Acting. She stayed in New York upon graduation and worked in numerous off- and off-off- Broadway productions, as well as Lincoln Center and Broadway. She has studied with some of the finest: Uta Hagen, Stella Adler and Lee Strasberg. Lin is a lifetime member of the Actors Studio.","1943-10-12",,1,,7401,"nm0005417","Acting","Lin Shaye","Detroit, Michigan, USA",21.953,"/aL87Za52elH81zMiXQn5C7AXAeg.jpg"
false,"[""Mary Rose Byrne"",""로즈 번"",""Роуз Бирн"",""Ρόουζ Μπερν"",""ローズ・バーン""]","Mary Rose Byrne (born 24 July 1979) is an Australian actress. Byrne made her screen debut in 1994 with a small role in the film Dallas Doll. In 2000, she played a leading role in the Australian film The Goddess of 1967, which brought her a Venice Film Festival award for Best Actress. Since 2007, she has played Ellen Parsons in the cable television series Damages, which has earned her two Golden Globe and two Emmy nominations. In 2011, she starred in the critically acclaimed and financially successful films Insidious, X-Men: First Class and Bridesmaids.

Description above from the Wikipedia article Rose Byrne, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1979-07-24",,1,,9827,"nm0126284","Acting","Rose Byrne","Sydney, New South Wales, Australia",34.952,"/4oQWCLK7gd6RNKF0WJipJo7TyFP.jpg"
false,"[]","Paul Luebke is a Scottish actor, known for Kajaki (2014), Free Rein (2017) and Outlander (2014).",,,2,,1108568,"nm3255515","Acting","Paul Luebke",,7.377,"/aMlBS32M1yRXCSiddDblgA7qR3D.jpg"
false,"[]","Camilla Arfwedson is an actress, born in 1981 in Westminster, London, England. She stands 5' 7"" (1.7 m). She studied at the University of Edinburgh in Scotland. She's known for The Duchess (2008), Inspector Lewis (2006) and Holby City (1999). She met her boyfriend Jack Hawkins on the set of Holby City (1999).","1981-01-01",,1,,1073327,"nm2268310","Acting","Camilla Arfwedson","Westminster, London, England, UK",7.041,"/nIqwNRJxX0kSN67HKSrC9fpeZRx.jpg"
false,"[""Roxanne Mckee"",""Roxy McKee""]","Actress/model Roxanne McKee was born in Canada on August 10, 1980, but was raised in England. Roxanne studied at the University of London, earning a degree in Social Policy and Political Studies. In 2005, she was accepted from an open casting for the tv series Hollyoaks. She had a three-year run with this series, including her character being in several notable story angles. She appeared also on the television series EastEnders: E20 (2010) before joining the cast of the tv series Game of Thrones in 2011.","1980-08-10",,1,,228969,"nm1861467","Acting","Roxanne McKee","Canada",12.974,"/xiTVp0EAxtYPoCPedgsfNJ4LK2t.jpg"
false,"["" Douglas William Bradley "",""Douglas Bradley"",""Bill Bradley""]","From Wikipedia, the free encyclopedia

Douglas William ""Doug"" Bradley (born 7 September 1954) is an English actor best known for his roles in the Hellraiser film series franchise.","1954-09-07",,2,,73040,"nm0103208","Acting","Doug Bradley","Liverpool, England, UK",8.497,"/tmJ2YlOAu6eifKSrNhhciWqVCAd.jpg"
false,"[""Borisa Tutundjieva""]","Borisa Tyutyundzhieva is a Bulgarian model and actress. Borisa began her career in 2006 when she won the ""Beauty Queen"". She currently resides in West Sofia, Bulgaria and Los Angeles, California.","1990-10-11",,1,,1870972,,"Acting","Borisa Tyutyundzhieva","Sofia, Kingdom of Bulgaria [now Bulgaria]",3.153,"/5W2IwmYTyZv2ouRmU6J6o9H8eGh.jpg"
false,"[]","From Wikipedia, the free encyclopedia

Derek Mears (born April 29, 1972) is an American actor and stuntman, best known for his role as Jason Voorhees in the reboot of Friday the 13th.","1972-04-29",,2,,51300,"nm0575216","Acting","Derek Mears","Bakersfield, California, USA",8.53,"/4oFf2xs07V9YbXzy4w74KcIfcbW.jpg"
false,"[]","Pihla Viitala (b. 1982) is a Finnish actress. She studied acting at the Helsinki Theatre Academy. When she was younger, she used to play the viola. More recently, Viitala gave birth to her daughter in 2012.","1982-09-30",,1,,93564,"nm2273799","Acting","Pihla Viitala","Helsinki, Finland",20.383,"/kDv97Pc2GLmNg2iBHsUw0cORRN4.jpg"
false,"[""Gemma Christina Arterton"",""젬마 아터튼""]","English actress Gemma Arterton won her first professional role while she was still at drama school, in the BBC television drama Capturing Mary written and directed by Stephen Poliakoff. Arterton made her stage debut as Rosaline in Shakespeare's Globe Theatre's production of Love's Labour's Lost in July 2007 before graduating later that year.  Also, Gemma made her big screen debut in the 2007 film St Trinian's as Head Girl Kelly. 

Arterton was seen in the James Bond film, Quantum of Solace (2008), as well as Clash of the Titans (2010) and Prince of Persia: The Sands of Time (2010). In 2011, she was recognized for her performance in Tamara Drewe and The Disappearance of Alice Creed, nominated twice for an award by the British Academy of Film and Television Arts. 

Arterton married Stefano Catelli at a secret ceremony in Zuheros, Spain in June of 2010. ","1986-02-02",,1,,59620,"nm2605345","Acting","Gemma Arterton","Gravesend, Kent, England, UK",33.129,"/ntHUKvMHjBjVXX33nycm7zNFYI1.jpg"
false,"[""Clifford Vivian Devon \""Cliff\"" Curtis"",""Clifford Vivian Devon Curtis"",""Κλιφ Κέρτις""]","Cliff Curtis  (born 27 July 1968) is a New Zealand actor who has had major roles in film, including The Piano, Whale Rider, and Blow, and most recently has appeared in NBC's television series Trauma. He is also co-owner of independent film production company Whenua Films. Curtis, ethnically Māori, has on film portrayed a range of ethnicities, including Latin American and Arab characters. He has appeared as a character actor in many Hollywood films, while in New Zealand he is usually the main star.

Description above from the Wikipedia article Cliff Curtis, licensed under CC-BY-SA, full list of contributors on Wikipedia","1968-07-27",,2,,7248,"nm0193295","Acting","Cliff Curtis","Rotorua, North Island, New Zealand",14.711,"/3D6qz8vL6DWHAO3HeXeaSuwxq3s.jpg"
false,"[""Rainn Dietrich Wilson""]","Rainn Dietrich Wilson (born January 20, 1966) is an American actor and comedian. He is primarily known for his role as the egomaniacal Dwight Schrute on the American version of the television comedy The Office. He has also directed two episodes of The Office: the sixth season's ""The Cover-Up"" and the seventh season's ""Classy Christmas"".

Description above from the Wikipedia article Rainn Wilson, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1966-01-20",,2,,11678,"nm0933988","Acting","Rainn Wilson","Seattle, Washington, USA",44.54,"/rEDRAFYX5n2JKJh9EKILX42klA5.jpg"
false,"[""李冰冰"",""Bingbing Li"",""Li Bing-Bing"",""리빙빙"",""Li Bing Bing"",""Bingbing Lee"",""Binbin Li""]","Li Bingbing  (Chinese: 李冰冰; born February 27, 1973 in Harbin, China). She is an actress and producer, known for Transformers: Age of Extinction (2014), Resident Evil: Retribution(2012) and Detective Dee: The Mystery of the Phantom Flame (2010). Li's first big break came in 1999 when she played a kindhearted cop in the film ""Seventeen Years"" (Guo nian hui jia). This film won her the Best Asian Actress award in the 2000 Singapore International Film Festival. In 2009, she was named a WWF Earth Hour Global Ambassador.","1973-02-27",,1,,109432,"nm0508356","Acting","Li Bingbing","Harbin, Heilongjiang, China",30.286,"/7LWUwPHK7nkB4ohESqFLSjsCPU1.jpg"
false,"[""So-hee Ahn"",""Ahn Sohee"",""안소희"",""An So-hee"",""Sohee"",""Ahn So-hee"",""원더걸스"",""Wonder Girls"",""Sohee An""]","An So-hee, better known mononymously as Sohee, is a South Korean actress, brand ambassador and singer. She is a former member of the popular South Korean girl group Wonder Girls, which debuted under JYP Entertainment in 2007. Wikipedia","1992-06-27",,1,,1042232,"nm3014842","Acting","An So-hee","Seoul, South Korea",4.786,"/rgaNe82JFAO07pbqj2yHy0PF4gw.jpg"
false,"[""Woo-sik Choi"",""최우식"",""Choi Woo-sik"",""Choe U-sik"",""Чой Ву Сик"",""崔宇植""]","Choi Woo-shik (Korean: 최우식; born March 26, 1990) is a Korean–Canadian actor. He first gained widespread recognition for his role in the film Set Me Free (2014). He then co-starred in the films Train to Busan (2016) and Parasite (2019), both of which received international critical acclaim and success, the latter of which won the Palme d'Or at Cannes and the Academy Award for Best Picture.","1990-03-26",,2,,1255881,"nm6079248","Acting","Choi Woo-shik","Seoul, South Korea",16.239,"/bIdt6LrqMpGQtGTZ1gmji6eGzTH.jpg"
false,"[""Dong-seok Ma"",""Don Lee"",""Ma Dong-suk"",""마동석"",""돈 리"",""馬東石"",""马东石"",""马东锡"",""李东锡"",""Ма Дон сок"",""Дон Ли""]","Ma Dong-seok (마동석) or Don Lee is a South Korean actor. Born Lee Dong-seok on 1st March 1971, he is best known for his supporting roles in The Neighbor, Nameless Gangster, and The Unjust. He also played leading roles in Norigae, Murderer and One on One.  Under his Westernized real name Don Lee and before he turned to acting, he was once the personal trainer of mixed martial artists Mark Coleman and Kevin Randleman.","1971-03-01",,2,,1024395,"nm3011350","Acting","Ma Dong-seok","Seoul, South Korea",20.496,"/zt1vx7FesNA4x6mTZtyzu2uco8E.jpg"
false,"[""정유미"",""Jung Yumi"",""Jung Yoo-mi"",""Jeong Yu-mi"",""Yu-mi Jeong"",""Jeong Yoo-mi"",""鄭有美"",""郑有美""]","Jung Yu-mi (born January 18, 1983) is a South Korean actress. Jung made her feature film debut in Blossom Again (2005), for which she received acting recognition. She has since starred in the critically acclaimed films Family Ties (2006), Chaw (2009), My Dear Desperado (2010), and the box office hits The Crucible (2011) and Train to Busan (2016). She also frequently appears in films by auteur Hong Sang-soo, notably Oki's Movie (2010) and Our Sunhi (2013).","1983-01-18",,1,"http://www.msoopent.com/page/page.html?acode=S7579309&mcd=02",127720,"nm1869756","Acting","Jung Yu-mi","Busan, South Korea",8.234,"/pU8iBcZHhuc4kQe6HHZVcommefG.jpg"
false,"[""Gong Ji-chul"",""Гон Ю"",""공유"",""Yoo Gong"",""공지철"",""孔侑"",""孔劉"",""コン・ユ"",""Gong Yoo"",""Gong Yu"",""Kong Yoo"",""Kong Yu"",""孔刘"",""孔地哲"",""იაუ გონგი""]","Gong Yoo (Hangul: 공유) is a South Korean actor. He started his career in showbiz as a VJ and subsequently debuted with parts in school dramas and films, eventually gaining starring roles in prime time dramas such Hello My Teacher and One Fine Day. His role as a cafe manager who falls in love with a girl disguised as a man in romantic comedy The 1st Shop of Coffee Prince solidified his status as a drama leading man. The popularity of the drama made him a regional star. After serving the 2-year compulsory military service, Gong Yoo made his comeback with romantic comedy Finding Mr Destiny and Silenced, a film project spearheaded by the actor himself upon reading the book based on the real events of deaf students being sexually exploited by the staff in a South Korean special school. Gong took on the role as a North Korean agent in action film the suspect in 2013. His post-military television comeback Big was however, not as well received. While Gong remained popular with Korean audience and brand sponsors, he experienced somewhat of a career renaissance in 2016 with box office hits Train to Busan and Age of Shadows, as well as one of the most-viewed Korean cable television drama, Goblin.","1979-07-10",,2,,150903,"nm1508003","Acting","Gong Yoo","Busan, South Korea",25.235,"/ocGoFb6TrK3uWGXt4WnuibUG1vD.jpg"
false,"[""Danny R. McBride"",""Ντάνι ΜακΜπράιντ""]","Daniel Richard ""Danny"" McBride (born December 29, 1976) is an American actor, comedian, screenwriter, and producer.","1976-12-29",,2,,62862,"nm1144419","Acting","Danny McBride","Statesboro, Georgia, USA",14.137,"/sVFPzl2t5QlGudQKWAszIWZCXZv.jpg"
